v,v,v,v,v,v,v,v,v,v,w,g,g,g,w,v,v,v,v,v,v,v,v,v,v
v,v,v,v,v,v,v,v,v,w,w,g,g,g,w,w,v,v,v,v,v,v,v,v,v
v,v,v,v,v,v,v,v,v,w,g,g,g,g,g,w,v,v,v,v,v,v,v,v,v
v,v,v,w,w,w,w,w,w,w,g,g,g,g,g,w,w,w,w,w,w,w,v,v,v
v,v,v,w,v,v,v,v,v,w,g,g,g,g,g,w,v,v,v,v,v,w,v,v,v
v,v,v,w,v,v,v,v,v,w,g,g,g,g,g,w,v,v,v,v,v,w,v,v,v
v,v,v,w,v,v,v,v,v,w,g,g,g,g,g,w,v,v,v,v,v,w,v,v,v
v,v,v,w,v,v,v,w,w,w,g,g,g,g,g,w,w,w,v,v,v,w,v,v,v
v,v,v,w,v,v,v,w,g,g,g,g,g,g,g,g,g,w,v,v,v,w,v,v,v
v,w,w,w,w,w,w,w,g,g,g,g,g,g,g,g,g,w,w,w,w,w,w,w,v
w,w,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,w,w
g,g,g,g,g,g,g,g,g,g,g,c,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g
g,g,g,g,g,g,g,g,g,g,g,g,g,c,g,g,g,g,g,g,g,g,g,g,g
w,w,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,g,w,w
v,w,w,w,w,w,w,w,g,g,g,g,g,g,g,g,g,w,w,w,w,w,w,w,v
v,v,v,w,v,v,v,w,g,g,g,g,g,g,g,g,g,w,v,v,v,w,v,v,v
v,v,v,w,v,v,v,w,w,w,g,g,g,g,g,w,w,w,v,v,v,w,v,v,v
v,v,v,w,v,v,v,v,v,w,g,g,g,g,g,w,v,v,v,v,v,w,v,v,v
v,v,v,w,v,v,v,v,v,w,g,g,g,g,g,w,v,v,v,v,v,w,v,v,v
v,v,v,w,v,v,v,v,v,w,g,g,g,g,g,w,v,v,v,v,v,w,v,v,v
v,v,v,w,w,w,w,w,w,w,g,g,g,g,g,w,w,w,w,w,w,w,v,v,v
v,v,v,v,v,v,v,v,v,w,g,g,g,g,g,w,v,v,v,v,v,v,v,v,v
v,v,v,v,v,v,v,v,v,w,w,g,g,g,w,w,v,v,v,v,v,v,v,v,v
v,v,v,v,v,v,v,v,v,v,w,g,g,g,w,v,v,v,v,v,v,v,v,v,v
